,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,1.3552527156068805e-20,-3.3881317890172014e-20,6.098637220230962e-20,0.0,0.0010000000000000007
4,0.0013137254901960885,0.0011111111111111183,0.029022988505747117,0.001021505376344092,0.03685
5,0.04728431372549019,0.009619047619047603,0.13543678160919542,0.018870967741935488,0.14755000000000001
6,0.2346470588235294,0.03836507936507935,0.30795402298850577,0.09664516129032258,0.31880000000000003
7,0.45549019607843133,0.11358730158730165,0.4689310344827586,0.2742903225806452,0.4662
8,0.6231862745098039,0.18712698412698414,0.5907586206896551,0.441,0.5761000000000001
9,0.721735294117647,0.24371428571428572,0.6665977011494253,0.5546774193548387,0.64405
10,0.7628431372549018,0.26928571428571435,0.6961379310344827,0.5980752688172043,0.66705
11,0.7497254901960784,0.26750793650793653,0.6779310344827586,0.5758172043010753,0.66215
12,0.6842941176470588,0.23798412698412702,0.6238160919540231,0.4926989247311828,0.6395500000000001
13,0.5678529411764706,0.17228571428571432,0.5318505747126436,0.36773118279569894,0.54825
14,0.4002549019607843,0.09582539682539681,0.40714942528735626,0.2133225806451613,0.41355000000000003
15,0.1952843137254902,0.028095238095238104,0.25555172413793104,0.05843010752688173,0.2653
16,0.03086274509803922,0.007015873015873038,0.1079655172413793,0.010129032258064524,0.12
17,0.0005392156862745103,0.0007777777777777774,0.021218390804597698,0.0002795698924731209,0.0322
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
