,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.10823407372765e-14,-8.833616268523495e-14,-2.7980981801049697e-14,-4.738851628858814e-15,3.5612403734608545e-14,8.390249985634384e-15,-5.089924650234913e-14,-1.3233500613290222e-14,-8.499864352120392e-16,5.650979101357295e-16,-1.5179894300864464e-14,7.968445100672979e-14
3,9.82432752494886e-15,-2.5453485958821406e-14,-2.034162768687092e-15,4.6570114744352624e-14,5.6055326663111295e-14,1.112746286718001e-14,-1.531681630607552e-14,-7.665262704670746e-14,-2.88041753595741e-14,-2.6301315844728355e-14,5.735345606232151e-14,1.6712249437669643e-14
4,8.89314349577342e-16,3.0274471219917184e-15,2.660228919539383e-15,-1.6883202036717263e-14,-4.257222341981024e-14,-1.1371807743997318e-14,-2.2730839472112855e-15,3.214781442002586e-14,2.871011309684238e-14,-6.285265408856361e-15,1.0019608977658204e-14,1.2488210994275911e-15
5,4.639696758162908,0.38794148487291347,0.59489300695942,5.331090572443783,1.1034167467600842,-0.6290862162584916,-2.0523132492363554,6.080882982490031,4.582053994458684,0.025750378259277618,9.685576281901042,8.052765550839265
6,57.745957593823704,4.221910115448257,10.209479309817244,59.174207202228786,24.19887053626947,2.705223316044105,-16.60990357149589,68.03837793649816,50.70852016969098,10.839949737944274,96.38691371426,94.12118562487399
7,168.30007414007537,14.613763486461067,47.76536389700266,143.347455790744,69.76389227934509,36.01962523136527,-17.665289805840686,183.01192384964116,153.49702756944947,50.520920061324,233.47457583846023,251.10609102548554
8,305.33843896970376,46.38779322582175,135.40649007284634,224.55560516811954,99.11088989091417,110.8719879387465,28.503740291540907,303.2744175163761,316.1675538785614,101.4276042717688,407.2456249578494,411.1882473792248
9,445.0646550419121,94.84408989797271,256.5906466096284,306.7604542326002,181.28488681611236,240.89026881096322,127.85553245147273,366.8818261046915,463.6478061112472,181.87141291108065,542.8800885603132,541.9309114139917
10,552.5252365654243,122.47453358351765,359.8239218763458,373.0696517642734,286.22884552419816,370.6589461982343,222.23216348187646,355.21711270088235,552.3160178914333,249.59008913315094,625.5902667978987,626.5755911759082
11,619.0652786163377,134.1924883920808,427.82961632176045,467.48112303681563,456.4182827056248,484.9608342364118,291.6462629879984,248.56807366638427,543.7907636753592,294.3361495135946,685.8840041944674,673.6719941231754
12,639.502847371517,129.41623905955953,440.6552487070172,418.5493825520814,464.5389722704625,522.5097037371686,323.5277789778065,282.85000778188805,559.190528971876,351.77164326982955,581.001085785653,678.3767427780803
13,623.1595374147131,107.90876557143656,361.85890049791306,215.46736534634928,396.53400320409776,493.0718735440284,313.0401643653033,519.4152686468324,537.5584545603919,510.09677100600214,153.68380029160647,671.0220112048557
14,533.5272221809463,92.15366272419618,260.9071642754992,318.0484279444203,568.4197721718476,430.9551228581036,232.67969409840904,359.44415785898775,303.6642532193026,470.3383383532524,123.16389941435403,620.2840995959334
15,416.60081017188077,72.27846597463005,155.9063197257847,339.2586819453399,539.8606752576152,299.9668797946917,125.32678758530815,281.5933359529528,163.63201841588946,364.5216567161919,142.1818179586063,537.089525437403
16,279.25458234047574,28.18106572956944,67.11910587527098,270.08206283844925,393.46966982769436,165.94415039307268,32.275074605794686,187.1631136396954,74.12830084383468,223.49580418842805,134.3435193403016,395.82532558266195
17,152.744270432958,5.611217192266551,20.416754370727915,149.8859580412033,187.70670390812245,62.436858749272346,-10.703479832663845,128.82368397345215,50.2679620356188,103.90460687357013,101.00597516021173,233.45880621506933
18,48.104963499663576,3.5968524064447607,0.9560802694290835,58.03853812750208,58.77386978004016,9.703899330046987,-12.934921210951625,49.1789096953023,15.112601174651518,27.29704236614116,49.106743862832886,81.70530780957837
19,3.2306225786002543,0.290621391247774,-0.30925306565463107,4.870097120486328,4.671363437261926,0.2465621535507636,-1.4183252716946204,3.2571942542633057,0.4859899822847549,1.5983513638799502,4.224155417249231,5.984870581988037
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
